example input data to run RothC for a number of years,,,,,,,,,
"clay and depth are only needed once, other data are monthly jan-dec ",,,,,,,,,
 (%),(cm),(t C/ha),(-),,,,,,
clay,depth,iom,nsteps,,,,,,
18,30,2.524,0,,,,,,
(-),(-),(%),(C) ,(mm),(mm),(t C/ha),(t C/ha),(-),(-)
year,month,modern,Tmp,Rain,Evap,C_inp,FYM,PC,DPM_RPM
2045,6,100,27.6,141.8,192,0,0,1,1.44
2045,7,100,26.6,139.7,176,0,0,1,1.44
2045,8,100,26,241,164,0,0,1,1.44
2045,9,100,26.4,198.1,162.67,0,0,1,1.44
2045,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2045,11,100,28.8,5.2,192,0,0,0,1.44
2045,12,100,27.8,0.3,192,0,0,0,1.44
2046,1,100,27.7,5,193.33,0,0,0,1.44
2046,2,100,30.3,10.9,200,0,0,0,1.44
2046,3,100,31.8,20.9,230.67,0,0,0,1.44
2046,4,100,30.9,86.4,225.33,0,0,0,1.44
2046,5,100,29.3,130.1,220,0,0,1,1.44
2046,6,100,27.6,141.8,192,0,0,1,1.44
2046,7,100,26.6,139.7,176,0,0,1,1.44
2046,8,100,26,241,164,0,0,1,1.44
2046,9,100,26.4,198.1,162.67,0,0,1,1.44
2046,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2046,11,100,28.8,5.2,192,0,0,0,1.44
2046,12,100,27.8,0.3,192,0,0,0,1.44
2047,1,100,27.7,5,193.33,0,0,0,1.44
2047,2,100,30.3,10.9,200,0,0,0,1.44
2047,3,100,31.8,20.9,230.67,0,0,0,1.44
2047,4,100,30.9,86.4,225.33,0,0,0,1.44
2047,5,100,29.3,130.1,220,0,0,1,1.44
2047,6,100,27.6,141.8,192,0,0,1,1.44
2047,7,100,26.6,139.7,176,0,0,1,1.44
2047,8,100,26,241,164,0,0,1,1.44
2047,9,100,26.4,198.1,162.67,0,0,1,1.44
2047,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2047,11,100,28.8,5.2,192,0,0,0,1.44
